# Interactor 1 uniprot id	Interactor 1 Ensembl gene id	Interactor 1 Entrez Gene id	Interactor 2 uniprot id	Interactor 2 Ensembl gene id	Interactor 2 Entrez Gene id	Interaction type	Interaction context	Pubmed references
uniprotkb:Q9VRL1	-	-	uniprotkb:P0CG69	ENSEMBL:FBgn0003943|ENSEMBL:FBtr0073179|ENSEMBL:FBtr0073177|ENSEMBL:FBtr0073178|ENSEMBL:FBtr0333142|ENSEMBL:FBpp0089269|ENSEMBL:FBpp0073035|ENSEMBL:FBpp0073034|ENSEMBL:FBpp0305348	-	physical association	reactome:R-DME-6790510	24243840
uniprotkb:Q9VRL1	-	-	uniprotkb:P15357	ENSEMBL:FBgn0003942|ENSEMBL:FBtr0080016|ENSEMBL:FBpp0079606	-	physical association	reactome:R-DME-6790510	24243840
uniprotkb:P10987	ENSEMBL:FBtr0100662|ENSEMBL:FBtr0100663|ENSEMBL:FBtr0345894|ENSEMBL:FBtr0070823|ENSEMBL:FBtr0070822|ENSEMBL:FBpp0070787|ENSEMBL:FBpp0100124|ENSEMBL:FBpp0070788|ENSEMBL:FBpp0100125|ENSEMBL:FBpp0311818|ENSEMBL:FBgn0000042	-	uniprotkb:Q0KIE7	-	-	physical association	reactome:R-DME-443654	24243840
uniprotkb:P17917	ENSEMBL:FBtr0086307|ENSEMBL:FBtr0086308|ENSEMBL:FBpp0085619|ENSEMBL:FBpp0089395|ENSEMBL:FBgn0005655	-	uniprotkb:Q9W1H4	ENSEMBL:FBtr0072132|ENSEMBL:FBpp0072041|ENSEMBL:FBgn0262619	-	physical association	reactome:R-DME-5651808	24243840
uniprotkb:P17917	ENSEMBL:FBtr0086307|ENSEMBL:FBtr0086308|ENSEMBL:FBpp0085619|ENSEMBL:FBpp0089395|ENSEMBL:FBgn0005655	-	reactome:R-DME-5649637	-	-	physical association	reactome:R-DME-5651810	24243840
uniprotkb:P17917	ENSEMBL:FBtr0086307|ENSEMBL:FBtr0086308|ENSEMBL:FBpp0085619|ENSEMBL:FBpp0089395|ENSEMBL:FBgn0005655	-	uniprotkb:Q9W1H4	ENSEMBL:FBtr0072132|ENSEMBL:FBpp0072041|ENSEMBL:FBgn0262619	-	physical association	reactome:R-DME-5651810	24243840
uniprotkb:P17917	ENSEMBL:FBtr0086307|ENSEMBL:FBtr0086308|ENSEMBL:FBpp0085619|ENSEMBL:FBpp0089395|ENSEMBL:FBgn0005655	-	uniprotkb:P27864	ENSEMBL:FBtr0077678|ENSEMBL:FBpp0077362|ENSEMBL:FBgn0004584	-	physical association	reactome:R-DME-5651810	24243840
uniprotkb:Q26454	ENSEMBL:FBtr0345797|ENSEMBL:FBtr0088982|ENSEMBL:FBpp0311783|ENSEMBL:FBpp0088055|ENSEMBL:FBgn0015929	-	uniprotkb:Q9VIE6	ENSEMBL:FBtr0081475|ENSEMBL:FBpp0081004|ENSEMBL:FBgn0032929	-	physical association	reactome:R-DME-156564	24243840
uniprotkb:P49735	ENSEMBL:FBtr0081827|ENSEMBL:FBpp0081317|ENSEMBL:FBgn0014861	-	uniprotkb:Q9VIE6	ENSEMBL:FBtr0081475|ENSEMBL:FBpp0081004|ENSEMBL:FBgn0032929	-	physical association	reactome:R-DME-156564	24243840
uniprotkb:Q9XYU0	ENSEMBL:FBtr0076585|ENSEMBL:FBpp0076312|ENSEMBL:FBgn0020633	-	uniprotkb:Q9VIE6	ENSEMBL:FBtr0081475|ENSEMBL:FBpp0081004|ENSEMBL:FBgn0032929	-	physical association	reactome:R-DME-156564	24243840
