alternative_ids|id|source|source_url|synonyms|term_name
|UBERON_0002663|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""nuclei septales"", ""parolfactory nuclei"", ""septal nuclei"", ""septal nucleus""]"|septal nuclear complex
|UBERON_0022716|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""lateral orbital frontal cortex""]"|lateral orbital frontal cortex
|UBERON_0001843|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""horizontal semicircular canal"", ""lateral semicircular canals"", ""lateral semicircular duct""]"|lateral semicircular canal
|UBERON_0035084|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""NTP vertebra"", ""postpygal vertebra""]"|non-transverse process-bearing vertebra
|UBERON_3010831|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""occipito-otic"", ""otic-occipital complex"", ""occipital-petrosal""]"|occipito-petrosal
|UBERON_0010167|UBERON|http://purl.obolibrary.org/obo/uberon.owl||beard
|UBERON_0013277|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""processus vaginalis vestige"", ""vestige of processus vaginalis""]"|remnant of processus vaginalis
|UBERON_2000497|UBERON|http://purl.obolibrary.org/obo/uberon.owl||pelvic adductor profundus
|UBERON_0011972|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""deltoid collateral ligament of ankle joint"", ""deltoid ligament of ankle joint"", ""ligamentum collaterale mediale (articulatio talocruralis)"", ""ligamentum collaterale mediale articulationis talocruralis"", ""ligamentum deltoideum"", ""ligamentum deltoideum (articulatio talocruralis)"", ""medial collateral ligament of ankle joint""]"|medial ligament of ankle joint
|UBERON_3000763|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""procoracoid bridge""]"|epicoracoid bridge
|UBERON_0002509|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""nodi lymphoidei mesenterici"", ""mesenteric node""]"|mesenteric lymph node
|UBERON_0035969|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""encapsulated nerve ending""]"|encapsulated tactile receptor
|UBERON_0016565|UBERON|http://purl.obolibrary.org/obo/uberon.owl||cerebral blood vessel
|UBERON_0001510|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""knee skin"", ""knee zone of skin"", ""zone of skin of knee""]"|skin of knee
|UBERON_0018405|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""inferior dental nerve""]"|inferior alveolar nerve
|UBERON_0009860|UBERON|http://purl.obolibrary.org/obo/uberon.owl||ascidian digestive gland
|UBERON_0002945|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""nucleus ventralis posteromedialis thalami"", ""ventral posterior medial nucleus of dorsal thalamus"", ""ventral posteromedial nucleus of the thalamus principal part"", ""ventral posteromedial nucleus of the thalamus, general"", ""ventral posteromedial nucleus of the thalamus, principal part"", ""ventroposterior medial thalamic nucleus"", ""arcuate nucleus of thalamus"", ""arcuate nucleus of the thalamus"", ""arcuate nucleus-3"", ""nucleus arcuatus thalami"", ""nucleus semilunaris thalami"", ""nucleus ventralis posterior medialis thalami"", ""nucleus ventralis posteromedialis"", ""nucleus ventralis posteromedialis thalami"", ""nucleus ventrocaudalis anterior internus (hassler)"", ""posteromedial ventral nucleus"", ""posteromedial ventral nucleus of thalamus"", ""posteromedial ventral nucleus of the thalamus"", ""semilunar nucleus"", ""thalamic gustatory nucleus"", ""ventral posterior medial nucleus"", ""ventral posterior medial nucleus of thalamus"", ""ventral posteromedial nucleus of thalamus"", ""ventral posteromedial nucleus of the thalamus"", ""ventral posteromedial thalamic nucleus"", ""ventroposteromedial nucleus of the thalamus""]"|ventral posteromedial nucleus of thalamus
|UBERON_0005013|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""male urethra mucosa"", ""male urethra mucosa of organ"", ""male urethra mucous membrane"", ""male urethra organ mucosa"", ""mucosa of organ of male urethra"", ""mucous membrane of male urethra"", ""organ mucosa of male urethra""]"|mucosa of male urethra
|UBERON_0004077|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""lobule IV of cerebellum vermis"", ""vermic lobule IV""]"|cerebellum vermis lobule IV
|UBERON_3000192|UBERON|http://purl.obolibrary.org/obo/uberon.owl||foramen perilymphaticum
|UBERON_0012274|UBERON|http://purl.obolibrary.org/obo/uberon.owl||columnar epithelium
|UBERON_0006904|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""cranial mesoderm"", ""head mesoderm"", ""head mesenchyme derived from mesoderm"", ""head mesenchyme from head mesoderm"", ""head mesenchyme from mesoderm"", ""mesenchyme derived from head mesoderm"", ""mesenchyme from head mesoderm""]"|head mesenchyme from mesoderm
|UBERON_2000251|UBERON|http://purl.obolibrary.org/obo/uberon.owl||adipose fin
|UBERON_0006476|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""B09-33"", ""BA33"", ""Brodmann (1909) area 33"", ""Brodmann area 33"", ""Brodmann area 33, pregenual"", ""Brodmanns area 33"", ""area 33 of Brodmann"", ""area 33 of Brodmann-1909"", ""area praegenualis"", ""pregenual area 33""]"|Brodmann (1909) area 33
|UBERON_0010721|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""cuneiform"", ""cuneiform bone"", ""distal tarsal"", ""distal tarsal bone"", ""os cuneiform"", ""os cuneiforme""]"|distal tarsal bone
|UBERON_2007001|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""dorsorostral cluster"", ""drc""]"|dorso-rostral cluster
|UBERON_2001096|UBERON|http://purl.obolibrary.org/obo/uberon.owl||immature anterior macula
|UBERON_0039856|UBERON|http://purl.obolibrary.org/obo/uberon.owl||right ovarian vein
|UBERON_0014835|UBERON|http://purl.obolibrary.org/obo/uberon.owl||serratus muscle
|UBERON_8600028|UBERON|http://purl.obolibrary.org/obo/uberon.owl||chorionic mesenchymal villus
|UBERON_0035850|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""infra-orbital bridge""]"|infraorbital bridge
|UBERON_0011164|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""chondrocranium bone""]"|neurocranium bone
|UBERON_2002058|UBERON|http://purl.obolibrary.org/obo/uberon.owl||Weberian complex centrum
|UBERON_0034921|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""anatomical cluster""]"|multi organ part structure
|UBERON_0001482|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""muscle organ of shoulder"", ""shoulder muscle"", ""shoulder muscle organ""]"|muscle of shoulder
|UBERON_2000074|UBERON|http://purl.obolibrary.org/obo/uberon.owl||somite 26
|UBERON_0013494|UBERON|http://purl.obolibrary.org/obo/uberon.owl||keratin-coated spine
|UBERON_2001949|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""caudal-fin hook""]"|caudal fin hook
|UBERON_0010745|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""sacral vertebral cartilage condensation"", ""sacral vertebral cartilage condensation group""]"|sacral vertebra cartilage element
