Cell type	closest Cell Ontology term(s)	Cell Ontology ID
Fetal Megakaryocyte	megakaryocyte	CL:0000556
Fetal Hematopoeitic Stem Cell	placental hematopoietic stem cell	CL:0002359
Fetal B Lymphocyte 2 (CXCR5+)	B cell	CL:0000236
Fetal T Lymphocyte 3 (IL2+)	T cell	CL:0000084
Fetal B Lymphocyte 3 (NPY+)	B cell	CL:0000236
Fetal Skeletal Myocyte 1	skeletal muscle fiber	CL:0008002
Fetal Satellite Cell 1	skeletal muscle satellite cell	CL:0000594
Fetal Satellite Cell 2	skeletal muscle satellite cell	CL:0000594
Fetal Skeletal Myocyte 2	skeletal muscle fiber	CL:0008002
Fetal Skeletal Myocyte 3	skeletal muscle fiber	CL:0008002
Fetal Erythroblast 1	erythroblast	CL:0000765
Fetal Inhibitory Neuron 1	inhibitory neuron	CL:0008029
Fetal Inhibitory Neuron 2	inhibitory neuron	CL:0008029
Fetal Inhibitory Neuron 3	inhibitory neuron	CL:0008029
Fetal Inhibitory Neuron 4	inhibitory neuron	CL:0008029
Fetal Excitatory Neuron 9	excitatory neuron	CL:0008030
Fetal Excitatory Neuron 10	excitatory neuron	CL:0008030
Fetal Astrocyte 1	astrocyte	CL:0000127
Fetal Astrocyte 2	astrocyte	CL:0000127
Fetal Astrocyte 3	astrocyte	CL:0000127
Fetal Astrocyte 4	astrocyte	CL:0000127
Fetal Oligodendrocyte Progenitor 2	oligodendrocyte precursor cell	CL:0002453
Fetal Syncitiotrophoblast,Cytotrophoblast,Trophoblast Giant	trophoblast giant cell	CL:0002488
Fetal Extravillous Trophoblast	extravillous trophoblast	CL:0008036
Fetal Gastric Goblet Cell	gastric goblet cell	CL:1000313
Fetal Pancreatic Acinar Cell 1	pancreatic acinar cell	CL:0002064
Fetal Pancreatic Acinar Cell 2	pancreatic acinar cell	CL:0002064
Fetal Cholangiocytes	cholangiocyte	CL:1000488
Fetal Pancreatic Ductal Cell	pancreatic ductal cell	CL:0002079
Fetal Mesothelial Cell	mesothelial cell	CL:0000077
Fetal Pulmonary Neuroendocrine Cell	lung neuroendocrine cell	CL:1000223
Fetal Pancreatic Islet Cell	islet of Langerhans	UBERON:0000006
Fetal Parietal,Chief Cell	parietal epithelial cell	CL:1000452
Fetal Placental Fibroblast 1	fibroblast	CL:0000057
Fetal Placental Fibroblast 2	fibroblast	CL:0000057
Fetal Erythroblast 4	erythroblast	CL:0000765
Fetal Erythroblast 5	erythroblast	CL:0000765
Fetal Fibroblast (General) 4	fibroblast	CL:0000057
Fetal Metanephric Cell	metanephros	UBERON:0000081
Fetal Ureteric Bud Cell	ureteric bud	UBERON:0000084
Fetal T Lymphocyte 4 (FASLG+)	T cell	CL:0000084
Fetal Excitatory Neuron 11	excitatory neuron	CL:0008030
Fetal Inhibitory Neuron 5	inhibitory neuron	CL:0008029
Fetal Fibroblast (General) 5	fibroblast	CL:0000057
Fetal Excitatory Neuron 12	excitatory neuron	CL:0008030
Fetal Astrocyte 5	astrocyte	CL:0000127
Fetal Broncial and Alveolar Epithelial Cell 2	type II pneumocyte	CL:0002063
Fetal Hepatoblast	hepatoblast	CL:0005026
Fetal Fibroblast (General) 1	fibroblast	CL:0000057
Fetal Ventricular Cardiomyocyte	fetal cardiomyocyte	CL:0002495
Fetal Atrial Cardiomyocyte	fetal cardiomyocyte	CL:0002495
Fetal Mesangial Cell 1	mesangial cell	CL:0000650
Fetal Fibroblast (Splenic)	fibroblast	CL:0000057
Fetal Fibroblast (Gastrointestinal)	fibroblast	CL:0000057
Fetal Cardiac Fibroblast	fibroblast of cardiac tissue	CL:0002548
Fetal Fibroblast (General) 2	fibroblast	CL:0000057
Fetal Fibroblast (Sk Muscle Associated) 1	fibroblast	CL:0000057
Fetal Fibroblast (General) 3	fibroblast	CL:0000057
Fetal Mesangial Cell 2	mesangial cell	CL:0000650
Fetal Hepatic Stellate Cell	hepatic stellate cell	CL:0000632
Fetal Broncial and Alveolar Epithelial Cell 1	type I pneumocyte	CL:0002062
Fetal Cilliated Epithelial Cell	ciliated epithelial cell	CL:0000067
Fetal Excitatory Neuron 1	excitatory neuron	CL:0008030
Fetal Excitatory Neuron 2	excitatory neuron	CL:0008030
