Identifier	Name	GO_Term
R-HSA-6802918	Activated MAP2Ks phosphorylate MAPKs downstream of inactive BRAF mutants	GO:0004712
R-HSA-6802919	RAS:GTP:moderate kinase activity p-RAF complexes phosphorylate MAP2Ks	GO:0004674
R-HSA-6802921	Activated MAP2Ks phosphorylate MAPKs downstream of moderate kinase activity BRAF mutants	GO:0004712
R-HSA-6802922	Activated MAP2Ks phosphorylate MAPKs downstream of oncogenic RAS	GO:0004712
R-HSA-6802926	Mutant RAS:p-RAF complexes phosphorylate MAP2Ks	GO:0004674
R-HSA-6802927	BRAF and RAF fusion mutant dimers are phosphorylated	GO:0004712
R-HSA-6802933	p-BRAF and RAF fusion dimers phosphorylate MAP2Ks	GO:0004674
R-HSA-6802935	MAPKs are phosphorylated downstream of BRAF and RAF fusion dimers	GO:0004674
R-HSA-6802943	RAS:GTP:inactive p-RAF complexes phosphorylate MAP2Ks	GO:0004674
R-HSA-6804253	MDM2 ubiquitinates JMY	GO:0061630
R-HSA-6804441	RNF34 or RFFL ubiquitinates phosphorylated TP53	GO:0061630
R-HSA-6804468	PIAS1 SUMOylates SP3 with SUMO2	GO:0019789
R-HSA-6804485	PIAS1 SUMOylates L3MBTL2 with SUMO2	GO:0019789
R-HSA-6804724	MDM2 ubiquitinates phosphorylated MDM4	GO:0061630
R-HSA-6804879	MDM2 ubiquitinates TP53	GO:0061630
R-HSA-6804942	MDM2 homodimers auto-ubiquitinate	GO:0061630
R-HSA-6805109	CDK2 phosphorylates TP53	GO:0004693
R-HSA-6805399	TAF1 phosphorylates TP53	GO:0004674
R-HSA-6805650	MTA2-NuRD complex deacetylates TP53	GO:0004407
R-HSA-6805785	AKT phosphorylates PHF20	GO:0004674
R-HSA-6807106	PTEN undergoes monoubiquitination	GO:0061630
R-HSA-6807118	USP7 deubiquitinates monoubiquitinated PTEN	GO:0004843
R-HSA-6807134	NEDD4, WWP2, CHIP and XIAP polyubiquitinate PTEN	GO:0061630
R-HSA-6807206	USP13 and OTUD3 deubiquitinate PTEN	GO:0004843
R-HSA-6810233	CDK7 phosphorylates serine-5 and serine-7 of heptad repeats in C-terminal domain of RNA polymerase II at snRNA promoter	GO:0004674
R-HSA-6814549	Pre-snRNA transcript initiation, Integrator binding, LEC binding	GO:0003899
R-HSA-6814555	Integrator complex processes the 3' end of snRNA	GO:0004521
R-HSA-6814559	Pre-snRNA is elongated and capped with 7-methylguanosine	GO:0003899
R-HSA-68712	The geminin component of geminin:Cdt1 complexes is ubiquitinated, releasing Cdt1	GO:0004842
R-HSA-688136	TNFAIP3 (A20) deubiquitinates RIP2	GO:0061578
R-HSA-688137	RIP2 is K63 polyubiquitinated	GO:0019787
R-HSA-68825	Ubiquitinated geminin is degraded by the proteasome	GO:0004175
R-HSA-68913	The primase component of DNA polymerase:primase synthesizes a 6-10 nucleotide RNA primer at the origin	GO:0003899
R-HSA-68944	Orc1 is phosphorylated by cyclin A/CDK2	GO:0004693
R-HSA-68946	Phosphorylated Orc1 is ubiquitinated while still associated with chromatin	GO:0061630
R-HSA-68948	Ubiquitinated Orc1 is degraded by the proteasome	GO:0004175
R-HSA-68950	The polymerase component of DNA polymerase alpha:primase synthesizes a 20-nucleotide primer at the origin	GO:0003887
R-HSA-68954	Mcm2-7 is phosphorylated by DDK	GO:0004713
R-HSA-69005	Cdc6 protein is phosphorylated by CDK	GO:0004693
R-HSA-69015	Cytoplasmic phosphorylated Cdc6 is ubiquitinated by the anaphase-promoting complex	GO:0061630
R-HSA-69016	Ubiquitinated Cdc6 is degraded by the proteasome	GO:0004175
R-HSA-69116	Formation of Okazaki fragments	GO:0003887
R-HSA-69152	Removal of remaining Flap	GO:0017108
R-HSA-69195	Phosphorylation of Cyclin E:CDK2 complexes by WEE1	GO:0004713
R-HSA-69199	Dephosphorylation of Cyclin E:Cdk2 complexes by Cdc25A	GO:0004721
R-HSA-69562	Inactivation of Cyclin E:Cdk2 complexes by p27/p21	GO:0004861
R-HSA-69598	Ubiquitination of phosphorylated CDC25A	GO:0004842
R-HSA-69600	Proteolytic degradation of ubiquitinated-Cdc25A	GO:0004175
R-HSA-69891	Phosphorylation and activation of CHEK2 by ATM	GO:0004674
R-HSA-70449	GADPH tetramer dehydrogenates GA3P	GO:0004365
R-HSA-70454	TPI1 dimer isomerizes DHAP to GA3P	GO:0004807
R-HSA-70481	TPI1 dimer isomerizes GA3P to DHAP	GO:0004807
R-HSA-70482	GAPDH tetramers reduce 1,3BPG to GA3P	GO:0004365
R-HSA-70494	Enolase dimers (ENO1,2,3) convert PEP to 2PG	GO:0004634
R-HSA-71660	Enolase dimers dehydrates 2PG	GO:0004634
R-HSA-71670	Pyruvate kinase dephosphorylates PEP to PYR	GO:0004743
R-HSA-72095	Internal Methylation of mRNA	GO:0001734
R-HSA-72621	Ribosomal scanning 	GO:0003743
R-HSA-72647	Cap-bound mRNA is activated by helicases 	GO:0003724
R-HSA-72697	Start codon recognition	GO:0003743
R-HSA-73736	Acetylation of SL1	GO:0016407
R-HSA-73794	IMP + H2O + NAD+ => XMP + NADH + H+ [IMPDH1,2]	GO:0003938
R-HSA-741386	RIP2 induces K63-linked ubiquitination of NEMO	GO:0004842
R-HSA-741411	CYLD deubiquitinates NEMO	GO:0061578
R-HSA-74986	Elongation of pre-rRNA transcript	GO:0003899
R-HSA-75824	Ubiquitination of Cyclin D1	GO:0004842
R-HSA-75825	Proteasome mediated degradation of Cyclin D1	GO:0004175
R-HSA-75850	Addition of the third nucleotide on the nascent transcript	GO:0003899
R-HSA-75869	Addition of the fourth nucleotide on the Nascent Transcript: Second Transition	GO:0003899
R-HSA-75873	Addition of Nucleotides 5 through 9 on the growing Transcript	GO:0003899
R-HSA-75949	RNA Polymerase II Promoter Opening: First Transition	GO:0043138
R-HSA-76576	Addition of nucleotides 10 and 11 on the growing transcript: Third Transition	GO:0003899
R-HSA-77071	Phosphorylation (Ser5) of RNA pol II CTD	GO:0004674
R-HSA-77078	Hydrolysis of the 5'-end of the nascent transcript by the capping enzyme	GO:0004651
R-HSA-77081	Formation of the CE:GMP intermediate complex	GO:0004484
R-HSA-77083	Transfer of GMP from the capping enzyme GT site to 5'-end of mRNA	GO:0004484
R-HSA-77090	Methylation of GMP-cap by RNA Methyltransferase	GO:0004482
R-HSA-870437	USP9X (FAM) deubiquitinates SMAD4	GO:0004843
R-HSA-870449	TRIM33 monoubiquitinates SMAD4	GO:0004842
R-HSA-8848436	PTK6 phosphorylates CDKN1B	GO:0004713
R-HSA-8848829	CBL autoubiquitinates	GO:0061630
R-HSA-8850594	Deglycosylation complex hydrolyses N-glycans from unfolded glycoproteins	GO:0000224
R-HSA-8850992	Proteasome degrades polyubiquitinated PTEN	GO:0004175
R-HSA-8851011	TRIM27 polyubiquitinates PTEN	GO:0061630
R-HSA-8852132	Ub-Cys632-UBA1 adenylates ubiquitin in the cytosol	GO:0004839
R-HSA-8852133	UBA1 conjugates ubiquitin to UBA1 in the cytosol	GO:0004839
R-HSA-8852134	UBA1 adenylates ubiquitin in the cytosol	GO:0004839
R-HSA-8852306	Mitotic phosphorylation-induced dissociation of GTSE1 from microtubule plus ends	GO:0004674
R-HSA-8852354	GTSE1 facilitates proteasome-mediated degradation of TP53	GO:0004175
R-HSA-8853379	ENGASE hydrolyses unfolded protein:(GlcNAc)2 (Man(9-5)	GO:0033925
R-HSA-8853419	TPX2 promotes AURKA autophosphorylation	GO:0004674
R-HSA-8853514	UCHL3,USP7,USP9X cleaves UBA52 yielding ubiquitin	GO:0004843
R-HSA-8853515	OTULIN,USP5 cleaves UBC yielding ubiquitin	GO:0004843
R-HSA-8853529	OTULIN,USP5 cleaves UBB yielding ubiquitin	GO:0004843
R-HSA-8854041	SCF-FBXL7 ubiquitinates AURKA	GO:0061630
R-HSA-8854044	Proteasome degrades AURKA ubiquitinated by SCF-FBXL7	GO:0004175
R-HSA-8854051	SCF-FBXL18 ubiquitinates FBXL7	GO:0061630
R-HSA-8854071	Proteasome-mediated degradation of PolyUb-FBXL7	GO:0004175
R-HSA-8854628	MYLIP dimer ubiquitinates VLDLR on Lys-839	GO:0061630
R-HSA-8862184	USP48 cleaves polyubiquitin	GO:0004843
R-HSA-8865050	Ub-Cys625-UBA6 adenylates ubiquitin in the cytosol	GO:0004839
R-HSA-8865090	UBA6 adenylates ubiquitin in the cytosol	GO:0004839
R-HSA-8865098	UBA6 conjugates ubiquitin to UBA6 in the cytosol	GO:0004839
R-HSA-8865182	OTUD7A hydrolyses K11diUb	GO:0004843
R-HSA-8865498	KMT2A trimethylates nucleosomes at the SPI1 gene locus producing H3K4Me3 mark	GO:0042800
R-HSA-8865774	TTLLs polyglutamylate tubulin	GO:0070740
R-HSA-8866105	CCPs deglutamylate tubulin	GO:0004181
R-HSA-8866405	RNR (M1M2B) reduces nucleotide diphosphates to deoxynucleotide diphosphates (glutaredoxin)	GO:0036175
R-HSA-8866546	RNF5 and RNF185 ubiquitinate misfolded CFTR	GO:0061630
R-HSA-8866553	misfolded CFTR is degraded by the 26S proteasome	GO:0004175
R-HSA-8866856	RNF5 and RNF185 ubiquitinate CFTR F508del	GO:0061630
R-HSA-8866858	CFTR F508del is degraded by the 26S proteasome	GO:0004175
R-HSA-8867288	OS9:SEL1:ERAD E3 ligase:DERL2 ubiquitinates unfolded protein:(GlcNAc)2 (Man)9-5	GO:0061630
R-HSA-8867370	TTLL3, TTLL8, TTLL10 polyglycylate tubulin	GO:0070735
R-HSA-8868072	Clathrin-associated PIK3C2A phosphorylates PI(4)P to PI(3,4)P2	GO:0035005
R-HSA-8868567	CDK5:p25 phosphorylates PRDX1	GO:0004674
R-HSA-8868648	SYNJ hydrolyze PI(4,5)P2 to PI(4)P	GO:0004439
R-HSA-8868658	HSPA8-mediated ATP hydrolysis promotes vesicle uncoating	GO:0016887
R-HSA-8868661	Dynamin-mediated GTP hydrolysis promotes vesicle scission	GO:0003924
R-HSA-8869456	USP4 deubiquitinate TRAF2,TRAF6	GO:0004843
R-HSA-8869506	TNFAIP3 in OTUD7B:TNFAIP3:ZRANB1 deubiquitinates K63polyUb-TRAF6	GO:0061578
R-HSA-8874122	MBTPS2 (S2P) cleaves ATF6B (ATF6-beta)	GO:0004222
R-HSA-8874187	MBTPS2 (S2P) cleaves CREB3L2	GO:0004222
R-HSA-8874192	MBTPS2 (S2P) cleaves CREB3	GO:0004222
R-HSA-8874194	MBTPS2 (S2P) cleaves CREB3L1	GO:0004222
R-HSA-8874195	MBTPS2 (S2P) cleaves CREB3L4	GO:0004222
R-HSA-8874201	MBTPS2 (S2P) cleaves CREB3L3	GO:0004222
R-HSA-8875183	CBL monoubiquitinates activated MET	GO:0061630
R-HSA-8875431	LRIG1 undergoes ubiquitination	GO:0061630
R-HSA-8875443	USP8 deubiquitinates LRIG1	GO:0004843
R-HSA-8876258	CBL monoubiquitinates InlB-bound MET	GO:0061630
R-HSA-8877003	CBLL1 ubiqutinates the InlA-bound CDH1 complex	GO:0061630
R-HSA-8879123	PRMT3 transfers 3xCH3 from 3xAdoMet to RPS2	GO:0016274
R-HSA-888589	Release of GABA at the synapse	GO:0000149
R-HSA-8931974	N6AMT2 transfers 3xCH3 from 3xAdoMet to EEF1A	GO:0016279
R-HSA-8932221	METTL21A transfers 3xCH3 from 3xAdoMet to HSPA8	GO:0016279
R-HSA-8932243	EEF2KMT transfers 3xCH3 from 3xAdoMet to EEF2	GO:0016279
R-HSA-8932355	26S proteasome degrades Ub-NFE2L2	GO:0004175
R-HSA-8932413	METTL10 transfers 3xCH3 from 3xAdoMet to EEF1A1	GO:0016279
R-HSA-8936481	Core MLL complex methylates H3K4Me2-Nucleosome at the ITGA2B gene promoter	GO:0042800
R-HSA-8936584	PRMT6 arginine methylates H3K4me2-Nucleosome at the ITGA2B gene promoter	GO:0140938
R-HSA-8936608	PRMT6 arginine methylates H3K4me2-Nucleosome at the GP1BA gene promoter	GO:0140938
R-HSA-8936621	Core MLL complex methylates H3K4Me2-Nucleosome at the GP1BA gene promoter	GO:0042800
R-HSA-8936849	AHR:2xHSP90:AIP:PTGES3 binds TCDD	GO:0004879
R-HSA-8937016	Core MLL complex methylates H3K4Me2-Nucleosome at the THBS1 gene promoter	GO:0042800
R-HSA-8937022	PRMT6 arginine methylates H3K4me2-Nucleosome at the THBS1 gene promoter	GO:0140938
R-HSA-8937050	Core MLL complex methylates H3K4Me2-Nucleosome at the MIR27A gene promoter	GO:0042800
R-HSA-8937113	PRMT6 arginine methylates H3K4me2-Nucleosome at the MIR27A gene promoter	GO:0140938
R-HSA-8937169	AHR:TCDD:2xHSP90AB1:AIP:PTGES3 translocates from cytosol to nucleoplasm	GO:0004879
R-HSA-8937191	AHR:TCDD:2xHSP90AB1:AIP:PTGES3 dissociates	GO:0004879
R-HSA-8937807	SRC phosphorylates RUNX3	GO:0004713
R-HSA-8938773	RNF144A polyubiquitinates PRKDC	GO:0061630
R-HSA-8938815	RNF152 polyubiquitinates RRAGA	GO:0061630
R-HSA-8939203	HSP90-dependent ATP hydrolysis promotes release of ESR:ESTG from chaperone complex	GO:0016887
R-HSA-8939335	RNF181 polyubiquinates BCL10	GO:0061630
R-HSA-8939706	SCF(SKP2) polyubiquitinates RUNX2	GO:0061630
R-HSA-8939801	26S proteasome degrades PolyUb-RUNX2	GO:0004175
R-HSA-8941312	TUT4,TUT7 oligouridylate mRNA	GO:0050265
R-HSA-8942101	RNF20:RNF40 monoubiquitinates Histone H2B	GO:0061630
R-HSA-8943003	SHPRH polyubiquitinates monoubiquitinated PCNA	GO:0061630
R-HSA-8943040	HLTF polyubiquitinates monoubiquitinated PCNA	GO:0061630
R-HSA-8943080	TMEM129 polyubiquitinates HLA (MHC class I heavy chain) bound to cytomegalovirus US11	GO:0061630
R-HSA-8948709	DTX4 ubiquitinates p-S172-TBK1 within NLRP4:DTX4:STING:TBK1:IRF3	GO:0004842
R-HSA-8948775	MKRN1 polyubiquitinates PTEN	GO:0061630
R-HSA-8948832	RNF146 polyubiquitinates PARylated PTEN	GO:0061630
R-HSA-8951966	EP300 acetylates RUNX3	GO:0061733
R-HSA-8952069	HDAC4 deacetylates RUNX3	GO:0033558
R-HSA-8952382	MDM2 polyubiquitinates RUNX3	GO:0061630
R-HSA-8952408	Polyubiquitinated RUNX3 is degraded by the proteasome	GO:0004175
R-HSA-8952419	SMURFs ubiquitinate RUNX3	GO:0061630
R-HSA-8952638	AcM-UBE2M transfers NEDD8 to CRL4 E3 ubiquitin ligase complex	GO:0019788
R-HSA-8953946	PEX2:PEX10:PEX12 monoubiquitinates PEX5S,L at cysteine-11	GO:0061630
R-HSA-8955706	TTL ligates L-Tyr to the carboxy terminus of detyr-alpha tubulin:beta tubulin	GO:0004835
R-HSA-8955712	SVBP:VASH1,VASH2 hydrolyzes the terminal L-Tyr residue from alphaY-beta tubulin dimer	GO:0004181
R-HSA-8955869	Polyglutamylase complex (TTLL1) polyglutamylates alpha subunits of tubulin	GO:0070740
R-HSA-8956026	CUL9:RBX1 ubiquitinates BIRC5	GO:0061630
R-HSA-8956045	COP9 signalosome deneddylates nuclear CRL4 E3 ubiquitin ligase complex	GO:0019784
R-HSA-8956106	VHL:EloB,C:NEDD8-CUL2:RBX1 complex ubiquitinylates HIF-alpha	GO:0004842
R-HSA-8956684	ITCH polyubiquitinates TP73	GO:0061630
R-HSA-8957265	26S proteasome degrades TP73 polyubiquitinated by ITCH	GO:0004175
R-HSA-8986083	USP33 deubiquitinates ROBO1	GO:0004843
R-HSA-9008076	WWP1 polyubiquitinates RUNX2	GO:0061630
R-HSA-9008110	Proteasome degrades polyubiquitinated RUNX2	GO:0004175
R-HSA-9009308	STUB1 polyubiquitinates RUNX2	GO:0061630
R-HSA-9009362	Proteasome degrades PolyUb-RUNX2	GO:0004175
R-HSA-9009403	SMURF1 polyubiquitinates RUNX2	GO:0061630
R-HSA-9011300	ZSWIM8 ubiquitinates ROBO3.1	GO:0061630
R-HSA-9011313	Proteasome degrades ubiquitinated ROBO3.1	GO:0004175
R-HSA-9011949	KDM4B demethylates H3K9me3 on estrogen-responsive target enhancers	GO:0032454
R-HSA-9011985	KDM1A demethylates H3 on MYC and BCL genes in response to estrogen	GO:0032454
R-HSA-9012319	p-TEFb phosphorylates serine 2 in RNA polymerase II CTD	GO:0004674
R-HSA-9013069	Ubiquitination of DLL/JAG ligands upon binding to NOTCH3	GO:0004842
R-HSA-9013974	Auto-ubiquitination of TRAF3 within activated TLR3 complex	GO:0004842
R-HSA-9014342	K63-linked ubiquitination of RIP1 bound to the activated TLR complex	GO:0004842
R-HSA-9017817	Gamma-secretase cleaves YBX1:NOTCH3	GO:0004190
R-HSA-9018785	RHOBTB2 binds GTP	GO:0044183
R-HSA-9021523	WWP2 ubiquitinates NOTCH3	GO:0061630
R-HSA-9032751	Estrogen-independent phosphorylation of ESR1 S118 by MAPK1 and MAPK3	GO:0004674
R-HSA-9033478	USP9X hydrolyzes Ub:PEX5S yielding PEX5S and Ubiquitin	GO:0004843
R-HSA-9033485	PEX2:PEX10:PEX12 monoubiquitinates PEX5L at cysteine-11	GO:0061630
R-HSA-9033491	USP9X hydrolyzes Ub:PEX5L yielding PEX5L and Ubiquitin	GO:0004843
R-HSA-9033499	PEX1:PEX6:PEX26:ZFAND6 dissociates Ub:PEX5L and PEX7 from PEX14:PEX13:PEX2:PEX10:PEX12 and translocates PEX5L and PEX7 from the peroxisomal membrane to the cytosol	GO:0042626
R-HSA-9033505	PEX1:PEX6:PEX26:ZFAND6:Ub:PEX5S,L:PEX14:PEX13:PEX2:PEX10:PEX12 dissociates yielding cytosolic Ub:PEX5S,L and membrane PEX14:PEX13:PEX2:PEX10:PEX12	GO:0042626
R-HSA-9038161	Progesterone stimulation promotes PGR:P4 binding to ESR1:ESTG	GO:0016887
R-HSA-912458	Formation of meiotic heteroduplex	GO:0000150
R-HSA-912470	ATR phosphorylates Histone H2A.X at unsynapsed regions	GO:0004674
R-HSA-917693	ESCRT Disassembly	GO:0016887
R-HSA-917744	GABA loaded synaptic vesicle Docking and Priming	GO:0000149
R-HSA-918224	DDX58 is K63 polyubiquitinated	GO:0004842
R-HSA-927836	SMG6 hydrolyzes mRNA with premature termination codon	GO:0004521
R-HSA-927889	SMG1 phosphorylates UPF1 (enhanced by Exon Junction Complex)	GO:0004674
R-HSA-934604	Phosphorylated SPRY2 is ubiquitinated by CBL	GO:0061630
R-HSA-936381	OTUD5 deubiquitinates TRAF3	GO:0061578
R-HSA-936390	CYLD mediated deubiquitination of DDX58 (RIG-I)	GO:0061578
R-HSA-936475	Negative regulation of DDX58/IFIH1 signaling by RNF216	GO:0061630
R-HSA-936942	Auto ubiquitination of oligo-TRAF6 bound to p-IRAK2	GO:0004842
R-HSA-936951	Activation of TAK1 complex bound to activated TLR4 complex	GO:0004674
R-HSA-936986	Activated TRAF6 synthesizes unanchored polyubiquitin chains	GO:0004842
R-HSA-936991	Auto phosphorylation of TAK1 bound to p-IRAK2:pUb oligo-TRAF6: free K63 pUb:TAB1:TAB2/TAB3 	GO:0008349
R-HSA-937050	Pellino ubiquitinates hp-IRAK1	GO:0034450
R-HSA-9604629	FBXW7 promotes ubiquitination of p-NICD4	GO:0061630
R-HSA-9604642	Proteasome degrades ubiquitinated NICD4	GO:0004175
R-HSA-9604829	SIRT6 deacetylates histones at NOTCH1 and NOTCH4 gene promoters	GO:0046969
R-HSA-9610627	KIF17 transports GluN1:GluN2B (GRIN1:GRIN2B) NMDA receptors to the plasma membrane	GO:0003777
R-HSA-9613490	Unwinding of DNA for the nascent HIV-1 transcript: Second Transition	GO:0043138
R-HSA-9613494	Unwinding of DNA for the Nascent Transcript: Second Transition	GO:0043138
R-HSA-9613497	Unwinding DNA for the nascent transcript	GO:0043138
R-HSA-9613498	Unwinding of DNA for the nascent HIV-1 transcript	GO:0043138
R-HSA-9613530	PRKAA2 phosphorylates PLINs	GO:0004674
R-HSA-9614343	Viral UL47:UL48 Proteins Bind HCMV Tegumented Virion to Host Microtuble and Dynein complexs	GO:0008017
R-HSA-9617758	EP300,CREBBP acetylate FOXO4	GO:0061733
R-HSA-9626945	CREBBP acetylates FOXO1	GO:0061733
R-HSA-9628444	Activated TRAF6 synthesizes unanchored polyubiquitin chains upon TLR3 stimulation 	GO:0004842
R-HSA-9629216	NEIL3 cleaves 5-guanidinohydantoin (Gh) from damaged telomeric DNA	GO:0019104
R-HSA-9629483	NEIL3 cleaves spiroiminodihydantoin from damaged telomeric DNA	GO:0019104
R-HSA-9629497	NEIL3 cleaves thymine glycol from telomeric DNA	GO:0019104
R-HSA-9629869	KDM8:Fe2+ hydroxylates an arginine residue of RPS6	GO:0106157
R-HSA-9630022	JMJD6 dimer hydroxylates lysine residues of U2AF2	GO:0070815
R-HSA-9633008	p-T899-EIF2AK4 (GCN2) phosphorylates EIF2AS1	GO:0004674
R-HSA-9633742	EIF2AK4 (GCN2) dimer autophosphorylates	GO:0004674
R-HSA-9636439	PtpA:Ub dephosphorylates p-Y133-VPS33B	GO:0004725
R-HSA-9645394	Activated TRAF6 synthesizes unanchored polyubiquitin chains upon ALPK1:ADP-heptose stimulation 	GO:0004842
R-HSA-9645414	Auto ubiquitination of TRAF6 bound to ALPK1:ADP-heptose:TIFA oligomer	GO:0004842
R-HSA-9645442	Auto phosphorylation of TAK1 within the ALPK1:ADP-heptose:p-T9-TIFA:pUb-TRAF6: free K63 pUb:TAB1:TAB2/TAB3 :MAP3K7 complex	GO:0008349
R-HSA-9653514	USP17L2 deubiquitinates RCE1	GO:0004843
R-HSA-9656214	MAP2Ks phosphorylate MAPKs downstream of RAF1 mutants	GO:0004674
R-HSA-9656215	RAF1 mutant complexes phosphorylate MAP2K dimer	GO:0004674
R-HSA-9659380	Mechanoelectrical transduction (MET) channel transports cations from the extracellular region into the cytosol of stereocilia of inner hair cell	GO:0140135
R-HSA-9663363	Mechanoelectrical transduction (MET) channel transports cations into the cytosol of stereocilia of cochlear outer hair cell	GO:0140135
R-HSA-9664588	ERBB2 KD mutants trans-autophosphorylate	GO:0004713
R-HSA-9665389	Heterodimers of ERBB2 ECD mutants and EGFR trans-autophosphorylate	GO:0004713
R-HSA-9668419	SPAST (spastin) mediates the severing of microtubules at chromosome attachment sites	GO:0008568
R-HSA-9670149	TERRA transcription	GO:0003899
R-HSA-9674127	USP30 deubiquitinates ATM dimer:Ub-p-PEX5	GO:0101005
R-HSA-9684118	ERCC3-facilitated RNA Pol II backtracking in TC-NER	GO:0043138
R-HSA-9685195	SARS-CoV-1 9b recruits ITCH to MAVS 	GO:0061630
R-HSA-9685219	SARS-CoV-1 nsp3 deubiquinates K63-linked pUb oligo-TRAF6 (TLR7/8 signaling)	GO:0061578
R-HSA-9686521	CDK2:CCNA phosphorylates TERF2	GO:0004693
R-HSA-9686920	PELI1 ubiquitinates RIPK3 at K363	GO:0061630
R-HSA-9686969	APC/C:Cdh1 polyubiquitinates SKP2	GO:0061630
R-HSA-9688831	STUB1 ubiquitinates RIPK3 at K55, K363	GO:0004842
R-HSA-9700181	Autophosphorylation of ALK fusions	GO:0004713
R-HSA-9700193	ALK mutants phosphorylate SHC1	GO:0004713
R-HSA-9701000	BRCA1:BARD1 heterodimer autoubiquitinates	GO:0004842
R-HSA-9701565	HDACs deacetylate p-STAT3 dimers	GO:0033558
R-HSA-9705738	SOCS1,3 ubiquitinates CSF3R in SOCS1,3:p-4Y-CSF3R:CSF3 dimer:LYN:p-Y-JAK1:p-JAK2:p-SYK:p-HCK:p-TYK2:CUL5:ELOB:ELOC:RNF7	GO:0061630
R-HSA-9706354	Ubiquitination of FLT3	GO:0061630
R-HSA-9706356	CBL mutants don't ubiquitinate FLT3	GO:0061630
R-HSA-9708517	FBXL17 ubiquitinates BACH1 (in BACH1:FBXL17:SCF (SKP2))	GO:0061630
R-HSA-9710480	Decitabine triphosphate incorporates into DNA	GO:0003887
R-HSA-9710490	The GSDME gene promoter is hypermethylated	GO:0008168
R-HSA-9711016	SARS-CoV-1 nsp3 deubiquinates K63-linked pUb-STING	GO:0061578
R-HSA-9711058	SARS-CoV-1 nsp3 deubiquinates K48-linked pUb IkBA	GO:1990380
R-HSA-9712082	ALK fusions phosphorylate IRS1	GO:0004713
R-HSA-9712084	PI3K synthesizes PIP3 downstream of ALK mutants	GO:0046934
R-HSA-9712085	ALK mutants phosphorylate STAT3	GO:0004713
R-HSA-9712086	ALK fusions phosphorylate PLCG1	GO:0004713
R-HSA-9712087	ALK fusions phosphorylate FRS	GO:0004713
R-HSA-9725030	MAPK1 phsophorylates ZC3HCF1 in a NPM-ALK-dependent manner	GO:0004674
R-HSA-9733316	p-Y-CBL autoubiquitinates and multiubiquitinates p-Y561-CSF1R in CSF1 dimer:p-Y561-CSF1R dimer:p-Y-CBL	GO:0061630
R-HSA-9734547	JAK2-activated MAPKs phosphorylate YBX1	GO:0004674
R-HSA-9748945	IMPDH tetramers dehydrogenate 6TIMP to 6TXMP	GO:0003938
R-HSA-9749350	ATP-dependent release of CDT1 from the OCCM complex	GO:0016887
R-HSA-9750942	USP14 deubiquitinates NLRC5	GO:0061578
R-HSA-9750946	TRAF2,6 ubiquitinates NLRC5	GO:0004842
R-HSA-975118	TRAF6 ubiquitinqtes IRF7 within the activated TLR7/8 or 9 complex	GO:0004842
R-HSA-975122	Pellino ubiquitinates hp-IRAK1 upon TLR7/8 or 9 activation<br>	GO:0034450
R-HSA-975147	Auto ubiquitination of oligo-TRAF6 bound to p-IRAK2 at endosome membrane	GO:0004842
R-HSA-9755303	26S proteasome degrades HIFalpha	GO:0004175
R-HSA-9755304	MUL1 ubiquitinates UBXN7	GO:0061630
R-HSA-9755306	ub UBXN7 is degraded by the 26S proteasome	GO:0004175
R-HSA-9755505	KEAP1:NEDD8-CUL3:RBX1 complex ubiquitinates NFE2L2	GO:0061630
R-HSA-9756494	CREBBP acetylates SARS-CoV-2 N at K375	GO:0061733
R-HSA-9758604	Ubiquitination of IKBKG by TRAF6	GO:0004842
R-HSA-9759154	TRIM21 ubiquitinates SQSTM1	GO:0061630
R-HSA-9759172	KEAP1:CUL3:RBX1 ubiquitinates p-S349 SQSTM1 oligomer	GO:0061630
R-HSA-9760081	CREBBP, EP300 acetylates NFE2L2	GO:0034212
R-HSA-9760094	SRXN1 reduces hyperoxidized PRDX1 dimer	GO:0032542
R-HSA-9762091	NFE2L2 is ubiquitinated by BTRC:SKP1:CUL1:RBX1	GO:0061630
R-HSA-9762096	Ub,pS335,S338,T NFE2L2 is degraded	GO:0004175
R-HSA-9764932	PRC2 (EZH2) core complex methylates nucleosomes at CDH1 gene promoter	GO:0046976
R-HSA-9766223	Proteasome-dependent degradation of ubiquitinated CDH1	GO:0004175
R-HSA-9766227	MDM2 mediates CDH1 ubiquitination	GO:0004842
R-HSA-9766645	CUL3:RBX1 ubiquitinates KEAP1	GO:0061630
R-HSA-9770129	Formation of the Spliceosomal A complex	GO:0003724
R-HSA-9770131	Formation of the Spliceosomal B* complex	GO:0003724
R-HSA-9770141	Formation of the Spliceosomal C* complex	GO:0003724
R-HSA-9770142	Formation of the Spliceosomal B complex	GO:0003724
R-HSA-9770145	Formation of the Spliceosomal Bact complex	GO:0003724
R-HSA-9770236	Formation of the Spliceosomal P complex and exon ligation	GO:0000386
R-HSA-9770847	Spliceosomal P complex dissociates yielding the intron-containing complex (ILS) and the spliced mRNP (new)	GO:0008186
R-HSA-9772351	Disassembly of the Intron Lariat Spliceosome (new)	GO:0008186
R-HSA-9793444	ITCH polyubiquitinates MLKL at K50	GO:0004842
R-HSA-9793485	PRKN polyubiquitinates RIPK3	GO:0004842
R-HSA-9793679	LUBAC ubiquitinates RIPK1 at K627	GO:0004842
R-HSA-9794542	Formation of the Spliceosomal C complex containing intron lariat	GO:0000384
