# Interactor 1 uniprot id	Interactor 1 Ensembl gene id	Interactor 1 Entrez Gene id	Interactor 2 uniprot id	Interactor 2 Ensembl gene id	Interactor 2 Entrez Gene id	Interaction type	Interaction context	Pubmed references
ChEBI:29108	-	-	uniprotkb:P07901	ENSEMBL:ENSMUST00000021698|ENSEMBL:ENSMUST00000094361|ENSEMBL:ENSMUSP00000021698|ENSEMBL:ENSMUSP00000091921|ENSEMBL:ENSMUSG00000021270	-	physical association	reactome:R-MMU-202121	24243840
uniprotkb:P31750	ENSEMBL:ENSMUSG00000001729|ENSEMBL:ENSMUSP00000001780|ENSEMBL:ENSMUST00000001780	-	uniprotkb:P07901	ENSEMBL:ENSMUST00000021698|ENSEMBL:ENSMUST00000094361|ENSEMBL:ENSMUSP00000021698|ENSEMBL:ENSMUSP00000091921|ENSEMBL:ENSMUSG00000021270	-	physical association	reactome:R-MMU-202121	24243840
ChEBI:59560	-	-	uniprotkb:P07901	ENSEMBL:ENSMUST00000021698|ENSEMBL:ENSMUST00000094361|ENSEMBL:ENSMUSP00000021698|ENSEMBL:ENSMUSP00000091921|ENSEMBL:ENSMUSG00000021270	-	physical association	reactome:R-MMU-1497830	24243840
uniprotkb:P60710	ENSEMBL:ENSMUST00000100497|ENSEMBL:ENSMUSP00000098066|ENSEMBL:ENSMUSG00000029580	-	uniprotkb:Q99104	ENSEMBL:ENSMUST00000123128|ENSEMBL:ENSMUSP00000116028|ENSEMBL:ENSMUSG00000034593	-	physical association	reactome:R-MMU-2316340	17515613
uniprotkb:Q99L45	ENSEMBL:ENSMUST00000099173|ENSEMBL:ENSMUSP00000096777|ENSEMBL:ENSMUSG00000074656	-	uniprotkb:Q6ZWX6	ENSEMBL:ENSMUST00000071230|ENSEMBL:ENSMUSP00000071214|ENSEMBL:ENSMUSG00000021116	-	physical association	reactome:R-MMU-9633006	24243840
uniprotkb:Q99L45	ENSEMBL:ENSMUST00000099173|ENSEMBL:ENSMUSP00000096777|ENSEMBL:ENSMUSG00000074656	-	uniprotkb:Q9Z0N1	ENSEMBL:ENSMUST00000050328|ENSEMBL:ENSMUSP00000059395|ENSEMBL:ENSMUSG00000035150	-	physical association	reactome:R-MMU-9633006	24243840
uniprotkb:Q9Z0N1	ENSEMBL:ENSMUST00000050328|ENSEMBL:ENSMUSP00000059395|ENSEMBL:ENSMUSG00000035150	-	uniprotkb:Q99L45	ENSEMBL:ENSMUST00000099173|ENSEMBL:ENSMUSP00000096777|ENSEMBL:ENSMUSG00000074656	-	physical association	reactome:R-MMU-9633492	10504407|11106749|10655230|7641700|10504407|11106749|10655230|7641700|10504407|10504407|10504407|10504407|10655230|10655230|10655230|10655230
uniprotkb:Q99L45	ENSEMBL:ENSMUST00000099173|ENSEMBL:ENSMUSP00000096777|ENSEMBL:ENSMUSG00000074656	-	uniprotkb:Q6ZWX6	ENSEMBL:ENSMUST00000071230|ENSEMBL:ENSMUSP00000071214|ENSEMBL:ENSMUSG00000021116	-	physical association	reactome:R-MMU-9633492	10504407|11106749|10655230|7641700|10504407|11106749|10655230|7641700|10504407|10504407|10504407|10504407|10655230|10655230|10655230|10655230
uniprotkb:Q9Z0N2	ENSEMBL:ENSMUST00000091197|ENSEMBL:ENSMUSP00000088736|ENSEMBL:ENSMUSG00000069049	-	uniprotkb:Q99L45	ENSEMBL:ENSMUST00000099173|ENSEMBL:ENSMUSP00000096777|ENSEMBL:ENSMUSG00000074656	-	physical association	reactome:R-MMU-9633492	10504407|11106749|10655230|7641700|10504407|11106749|10655230|7641700|10504407|10504407|10504407|10504407|10655230|10655230|10655230|10655230
uniprotkb:Q65Z40	ENSEMBL:ENSMUST00000169910|ENSEMBL:ENSMUST00000048263|ENSEMBL:ENSMUSP00000130547|ENSEMBL:ENSMUSP00000040232|ENSEMBL:ENSMUSG00000041408	-	uniprotkb:Q9CPY3	ENSEMBL:ENSMUST00000025704|ENSEMBL:ENSMUSP00000025704|ENSEMBL:ENSMUSG00000024791	-	physical association	reactome:R-MMU-2484814	24243840
