id|source|source_url|synonyms|term_name
CL_0000110|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||peptidergic neuron
CL_0000112|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||columnar neuron
CL_0000113|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||mononuclear phagocyte
CL_0000114|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""cell of surface ectoderm"", ""surface ectoderm cell""]"|surface ectodermal cell
CL_0000115|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""endotheliocyte""]"|endothelial cell
CL_0000116|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||pioneer neuron
CL_0000117|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||CNS neuron (sensu Vertebrata)
CL_0000118|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||basket cell
CL_0000119|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""Golgi cell"", ""Golgi neuron"", ""cerebellar Golgi neuron"", ""cerebellum Golgi cell""]"|cerebellar Golgi cell
CL_0000120|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||granule cell
CL_0000121|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""PC"", ""PN"", ""Purkinje neuron"", ""cerebellar Purkinje cell""]"|Purkinje cell
CL_0000122|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||stellate neuron
CL_0000123|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||neuron associated cell (sensu Vertebrata)
CL_0000125|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""neuroglia"", ""neuroglial cell""]"|glial cell
